ELECTRONIC CIRCUITS,DIGITAL CIRCUITS,ELECTRICAL CIRCUITS,DATA STRUCTURES,ELECTRONIC CIRCUIT LAB,DIGITAL CIRCUITS LAB,ELECTRICAL CIRCUIT LAB,DATA STRUCTURES LAB,ELECTRONIC SKILL DEVELOPMENT,AUDIT COURSE,ENGINEERING MATHEMATICS III,ENGINEERING MATHEMATICS III,SIGNALS & SYSTEMS,SIGNALS & SYSTEMS,CONTROL SYSTEMS,PRINCIPLES OF COMMU. SYSTEMS,OBJECT ORIENTED PROGRAMMING,SIGNALS & CONTROL SYSTEM LAB,PRINCIPLE OF COMMU. SYS. LAB,OOPS LAB,DATA ANALYTICS LAB,EMPLOYABILITY SKILL DEV.,PROJECT BASED LEARNING,AUDIT COURSE,SEM_3_GPA,SEM_3_SGPA,SEM_4_GPA,SEM_4_SGPA,TOTAL_CREDITS_EARNED,CGPA
27,30,30,30,7,9,10,9,9,0,40,10,30,9,18,18,27,9,9,9,9,27,18,0,211.0,9.591,183.0,8.318,44,8.95
30,30,30,30,4,9,10,9,9,0,40,9,24,9,21,24,18,9,8,9,9,24,16,0,210.0,9.545,171.0,7.773,44,8.66
24,30,30,30,8,9,9,10,10,0,40,10,21,10,18,21,24,9,8,8,8,24,18,0,210.0,9.545,169.0,7.682,44,8.61
27,30,30,27,9,10,10,9,9,0,40,10,21,8,12,21,12,7,9,8,8,21,16,0,211.0,9.591,143.0,6.5,44,8.05
24,30,30,30,7,9,9,9,8,0,40,10,18,9,0,21,0,8,8,8,9,24,16,0,206.0,9.364,121.0,5.5,38,0
24,30,30,30,6,8,10,8,9,0,36,9,21,9,12,15,0,7,4,7,8,18,14,0,200.0,9.091,115.0,5.227,41,0
30,30,30,30,9,9,9,10,9,0,40,10,27,10,24,30,18,9,9,10,9,24,18,0,216.0,9.818,188.0,8.545,44,9.18
24,30,30,30,10,9,10,8,10,0,40,10,27,8,21,21,18,7,9,8,9,24,16,0,211.0,9.591,168.0,7.636,44,8.61
30,30,30,27,7,10,10,5,9,0,40,8,21,9,21,18,18,8,9,8,8,24,16,0,206.0,9.364,160.0,7.273,44,8.32
27,27,27,27,9,9,9,9,9,0,32,9,21,9,12,18,18,8,9,8,9,27,16,0,194.0,8.818,155.0,7.045,44,7.93
24,27,30,30,9,7,10,9,8,0,40,10,18,9,0,18,0,7,9,8,7,24,16,0,204.0,9.273,116.0,5.273,38,0
27,30,30,30,5,7,10,5,9,0,40,10,21,9,0,15,0,8,8,6,7,15,16,0,203.0,9.227,105.0,4.773,38,0
30,30,30,30,10,9,10,10,9,0,36,10,24,9,15,24,18,9,8,10,8,27,16,0,214.0,9.727,168.0,7.636,44,8.68
24,30,24,27,7,8,9,10,7,0,40,7,24,10,15,21,12,9,6,8,8,27,16,0,193.0,8.773,156.0,7.091,44,7.93
24,30,30,30,8,8,10,8,9,0,40,10,24,9,27,24,24,9,8,5,7,21,16,0,207.0,9.409,174.0,7.909,44,8.66
24,27,30,30,9,8,10,9,9,0,40,10,27,10,21,21,24,8,8,9,9,24,14,0,206.0,9.364,175.0,7.955,44,8.66
24,30,30,30,9,10,10,9,9,0,40,9,24,10,24,24,18,9,9,9,9,21,16,0,210.0,9.545,173.0,7.864,44,8.70
27,30,30,30,6,8,10,7,9,0,40,9,27,10,21,21,15,10,9,7,8,27,18,0,206.0,9.364,173.0,7.864,44,8.61
30,30,30,30,6,9,10,10,10,0,40,10,18,10,24,21,18,9,9,8,8,24,18,0,215.0,9.773,167.0,7.591,44,8.68
27,30,30,27,8,10,9,10,9,0,40,10,21,10,24,21,15,9,9,8,9,27,16,0,210.0,9.545,169.0,7.682,44,8.61
30,30,30,30,9,9,10,9,9,0,36,10,30,10,24,24,18,8,8,8,9,21,18,0,212.0,9.636,178.0,8.091,44,8.86
