DISCRETE MATHEMATICS,DISCRETE MATHEMATICS,LOGIC DESIGN & COMP. ORG.,DATA STRUCTURES & ALGO.,OBJECT ORIENTED PROGRAMMING,BASIC OF COMPUTER NETWORK,LOGIC DESIGN COMP. ORG. LAB,DATA STRUCTURES & ALGO. LAB,OBJECT ORIENTED PROG. LAB,SOFT SKILL LAB,AUDIT COURSE,ENGINEERING MATHEMATICS-III,ENGINEERING MATHEMATICS-III,PROCESSOR ARCHITECTURE,DATABASE MANAGEMENT SYSTEM,COMPUTER GRAPHICS,SOFTWARE ENGINEERING,PROG. SKILL DEVELOPMENT LAB,DATABASE MGMT. SYSTEM LAB,COMPUTER GRAPHICS LAB,PROJECT BASED LEARNING,AUDIT COURSE,SEM_3_GPA,SEM_3_SGPA,SEM_4_GPA,SEM_4_SGPA,TOTAL_CREDITS_EARNED,CGPA
24,10,24,24,27,24,9,20,18,9,0,27,10,18,24,24,18,7,18,9,18,0,189.0,8.591,173.0,7.864,44,8.23
27,9,30,30,30,30,9,18,16,9,0,12,9,12,18,15,15,6,18,4,16,0,208.0,9.455,125.0,5.682,44,7.57
27,10,27,24,30,30,8,18,18,9,0,18,10,21,15,24,24,7,16,9,18,0,201.0,9.136,162.0,7.364,44,8.25
21,10,27,27,30,30,8,18,20,10,0,15,10,12,18,15,15,10,20,9,20,0,201.0,9.136,144.0,6.545,44,7.84
27,9,27,27,30,30,9,18,18,9,0,24,9,15,21,21,12,7,18,9,18,0,204.0,9.273,154.0,7.0,44,8.14
30,10,30,30,30,30,10,20,18,10,0,24,10,21,24,27,21,9,18,9,18,0,218.0,9.909,181.0,8.227,44,9.07
30,10,30,30,30,30,9,18,18,9,0,27,9,21,21,24,24,8,18,10,18,0,214.0,9.727,180.0,8.182,44,8.95
30,8,27,30,30,30,7,16,14,8,0,24,9,18,21,21,12,8,18,9,16,0,200.0,9.091,156.0,7.091,44,8.09
30,8,30,30,30,30,10,20,18,9,0,21,10,18,15,24,18,9,16,9,18,0,215.0,9.773,158.0,7.182,44,8.48
30,10,30,30,30,30,9,18,16,10,0,24,10,15,21,18,18,6,18,9,16,0,213.0,9.682,155.0,7.045,44,8.36
30,8,30,27,30,30,9,18,18,9,0,24,10,15,21,18,18,8,18,10,18,0,209.0,9.5,160.0,7.273,44,8.39
30,8,30,30,30,30,9,18,16,9,0,21,10,18,18,21,18,6,18,9,18,0,210.0,9.545,157.0,7.136,44,8.34
27,10,30,30,30,30,10,20,18,9,0,27,9,12,18,18,15,6,20,9,16,0,214.0,9.727,150.0,6.818,44,8.27
24,10,30,30,30,30,9,18,14,9,0,24,9,15,18,18,18,6,18,9,16,0,204.0,9.273,151.0,6.864,44,8.07
30,10,30,30,30,30,8,20,18,9,0,27,10,18,18,24,15,8,18,8,18,0,215.0,9.773,164.0,7.455,44,8.61
24,10,27,30,30,30,8,18,18,10,0,21,10,18,18,27,18,9,16,7,20,0,205.0,9.318,164.0,7.455,44,8.39
27,8,30,27,30,30,10,18,16,9,0,30,10,18,24,27,21,9,16,10,18,0,205.0,9.318,183.0,8.318,44,8.82
27,8,30,27,30,30,9,18,18,10,0,24,9,21,24,21,15,5,20,9,18,0,207.0,9.409,166.0,7.545,44,8.48
24,10,27,27,30,30,9,18,18,9,0,15,10,12,12,18,15,8,18,6,18,0,202.0,9.182,132.0,6.0,44,7.59
21,9,27,27,30,30,8,16,16,10,0,21,7,15,18,24,21,4,0,0,14,0,194.0,8.818,124.0,5.636,41,0
30,10,30,30,30,30,8,20,20,9,0,30,10,18,21,24,18,8,18,9,18,0,217.0,9.864,174.0,7.909,44,8.89
24,10,30,27,30,30,9,20,20,9,0,27,10,21,21,18,18,8,18,10,18,0,209.0,9.5,169.0,7.682,44,8.59
30,9,30,30,30,30,10,18,18,9,0,27,10,18,21,21,18,10,18,7,18,0,214.0,9.727,168.0,7.636,44,8.68
30,10,30,30,30,30,8,18,18,9,0,18,10,18,18,21,15,8,18,6,16,0,213.0,9.682,148.0,6.727,44,8.20
30,10,30,30,30,30,10,20,18,10,0,30,10,21,24,27,21,10,20,10,18,0,218.0,9.909,191.0,8.682,44,9.30
27,10,30,30,30,30,9,20,18,9,0,27,10,24,24,27,24,9,18,8,18,0,213.0,9.682,189.0,8.591,44,9.14
27,10,30,27,30,30,8,18,18,9,0,27,9,15,15,18,12,7,18,9,18,0,207.0,9.409,148.0,6.727,44,8.07
30,10,30,27,30,30,10,20,20,9,0,27,10,18,21,21,18,8,18,9,18,0,216.0,9.818,168.0,7.636,44,8.73
30,9,30,30,30,30,9,18,18,9,0,24,10,12,18,24,15,8,18,9,18,0,213.0,9.682,156.0,7.091,44,8.39
30,10,30,30,30,30,9,20,18,10,0,21,10,12,12,24,15,7,18,9,18,0,217.0,9.864,146.0,6.636,44,8.25
30,10,30,30,30,30,10,20,18,10,0,27,10,21,21,30,21,10,20,9,20,0,218.0,9.909,189.0,8.591,44,9.25
27,10,27,30,30,30,9,16,16,9,0,24,10,18,21,18,18,6,18,9,18,0,204.0,9.273,160.0,7.273,44,8.27
24,9,30,24,30,27,7,16,18,9,0,12,9,12,0,18,18,7,14,5,16,0,194.0,8.818,111.0,5.045,41,0
24,10,30,30,30,30,8,20,18,9,0,12,10,18,12,18,15,7,18,5,18,0,209.0,9.5,133.0,6.045,44,7.77
27,10,30,27,30,30,9,20,18,9,0,24,9,15,24,24,15,9,18,9,18,0,210.0,9.545,165.0,7.5,44,8.52
30,9,27,30,30,30,9,18,16,9,0,24,9,18,18,18,18,7,18,9,18,0,208.0,9.455,157.0,7.136,44,8.30
24,10,30,30,30,30,9,20,18,9,0,27,10,21,24,27,21,8,18,9,18,0,210.0,9.545,183.0,8.318,44,8.93
27,9,30,30,30,30,6,18,16,9,0,24,10,12,15,24,18,7,18,8,18,0,205.0,9.318,154.0,7.0,44,8.16
30,10,30,30,30,30,9,18,18,10,0,27,10,24,24,24,18,7,20,10,18,0,215.0,9.773,182.0,8.273,44,9.02
27,9,30,30,30,30,9,14,14,8,0,18,8,0,18,15,18,9,18,7,16,0,201.0,9.136,127.0,5.773,41,0
30,10,27,27,30,30,9,16,16,9,0,27,10,18,18,18,12,6,18,8,16,0,204.0,9.273,151.0,6.864,44,8.07
30,10,30,30,30,30,10,18,18,10,0,24,8,21,24,24,21,7,16,5,16,0,216.0,9.818,166.0,7.545,44,8.68
30,10,30,30,30,30,9,20,18,10,0,27,10,18,21,21,12,7,18,10,18,0,217.0,9.864,162.0,7.364,44,8.61
27,9,30,27,30,30,8,16,12,8,0,18,9,12,12,18,24,7,12,6,16,0,197.0,8.955,134.0,6.091,44,7.52
