DISCRETE MATHEMATICS,FUND. OF DATA STRUCTURES,OBJECT ORIENTED PROGRAMMING,COMPUTER GRAPHICS,DIGITAL ELEC. & LOGIC DESIGN,DATA STUCTURES LABORATORY,OOP & COMP. GRAPHICS LAB.,DIGITAL ELEC. LABORATORY,BUSINESS COMMUNICATION SKILLS,HUMANITY & SOCIAL SCIENCE,AUDIT COURSE,ENGINEERING MATHEMATICS III,ENGINEERING MATHEMATICS III,DATA STRUCTURES & ALGO.,SOFTWARE ENGINEERING,MICROPROCESSOR,PRINCIPLES OF PROG. LANG.,DATA STRUCTURES & ALGO. LAB.,MICROPROCESSOR LABORATORY,PROJECT BASED LEARNING II,CODE OF CONDUCT,AUDIT COURSE,SEM_3_GPA,SEM_3_SGPA,SEM_4_GPA,SEM_4_SGPA,TOTAL_CREDITS_EARNED,CGPA
30,30,30,30,30,18,20,10,10,9,0,30,9,24,21,27,24,20,9,18,10,0,217.0,9.864,192.0,8.727,44,9.30
30,30,30,30,30,18,20,9,10,10,0,27,10,24,27,18,24,14,9,18,10,0,217.0,9.864,181.0,8.227,44,9.05
30,30,30,27,30,20,16,10,10,8,0,30,8,24,21,24,21,16,8,20,9,0,211.0,9.591,181.0,8.227,44,8.91
30,27,30,30,30,18,20,9,9,10,0,30,8,21,27,24,21,14,8,20,8,0,213.0,9.682,181.0,8.227,44,8.95
30,30,27,30,30,18,14,9,10,9,0,21,7,21,21,21,15,16,10,18,8,0,207.0,9.409,158.0,7.182,44,8.30
30,27,30,27,30,16,18,10,9,8,0,21,7,18,21,12,18,14,8,18,9,0,205.0,9.318,146.0,6.636,44,7.98
30,30,27,30,30,16,16,9,9,9,0,24,7,18,18,21,21,20,8,18,9,0,206.0,9.364,164.0,7.455,44,8.41
30,27,27,30,30,18,18,10,10,9,0,27,8,27,27,24,24,18,9,18,10,0,209.0,9.5,192.0,8.727,44,9.11
30,30,30,27,30,18,18,10,9,8,0,21,6,12,15,21,18,16,6,18,7,0,210.0,9.545,140.0,6.364,44,7.95
30,27,30,24,30,18,16,9,8,10,0,21,7,18,12,18,18,14,8,18,6,0,202.0,9.182,140.0,6.364,44,7.77
30,30,30,30,30,18,18,10,10,9,0,30,9,21,27,24,24,18,10,18,9,0,215.0,9.773,190.0,8.636,44,9.20
24,24,30,27,30,16,16,9,10,9,0,24,8,15,15,15,18,14,8,20,10,0,195.0,8.864,147.0,6.682,44,7.77
30,30,30,30,30,18,18,9,10,9,0,27,8,21,24,24,21,18,9,20,9,0,214.0,9.727,181.0,8.227,44,8.98
30,30,30,27,30,18,18,9,10,9,0,27,9,27,24,24,30,16,10,20,9,0,211.0,9.591,196.0,8.909,44,9.25
27,27,30,27,30,18,20,10,10,9,0,24,8,21,18,21,21,14,9,18,9,0,208.0,9.455,163.0,7.409,44,8.43
27,27,30,27,30,14,18,9,9,9,0,27,9,21,21,21,24,20,9,20,10,0,200.0,9.091,182.0,8.273,44,8.68
30,30,30,27,30,16,18,9,10,10,0,30,9,24,27,24,27,20,10,18,10,0,210.0,9.545,199.0,9.045,44,9.30
30,30,30,30,30,16,18,10,10,9,0,21,4,12,12,12,15,12,8,20,9,0,213.0,9.682,125.0,5.682,44,7.68
30,27,30,27,30,12,18,9,10,9,0,27,7,12,0,18,18,0,0,18,9,0,202.0,9.182,109.0,4.955,38,0
27,30,30,30,30,18,18,9,9,9,0,21,9,15,21,18,27,18,9,20,9,0,210.0,9.545,167.0,7.591,44,8.57
27,30,27,27,30,18,18,9,9,10,0,27,7,24,18,21,24,16,8,18,7,0,205.0,9.318,170.0,7.727,44,8.52
30,30,30,27,30,16,16,10,9,9,0,12,7,15,15,18,21,0,8,20,10,0,207.0,9.409,126.0,5.727,42,0
30,30,24,30,30,16,18,10,9,10,0,30,9,24,24,21,21,16,9,18,9,0,207.0,9.409,181.0,8.227,44,8.82
30,30,30,30,30,18,16,9,9,9,0,21,7,12,18,18,15,16,9,18,9,0,211.0,9.591,143.0,6.5,44,8.05
30,30,30,27,30,18,18,10,9,10,0,30,9,21,21,21,21,16,9,18,8,0,212.0,9.636,174.0,7.909,44,8.77
30,30,30,30,30,18,16,9,9,10,0,18,4,12,12,15,18,14,6,18,8,0,212.0,9.636,125.0,5.682,44,7.66
30,30,30,30,30,18,18,10,10,9,0,27,8,18,21,24,24,16,9,20,8,0,215.0,9.773,175.0,7.955,44,8.86
30,30,27,27,30,18,16,10,9,10,0,30,9,24,21,21,21,18,9,18,9,0,207.0,9.409,180.0,8.182,44,8.80
30,30,27,30,30,18,20,10,10,10,0,27,9,21,24,21,27,16,10,20,9,0,215.0,9.773,184.0,8.364,44,9.07
30,30,30,27,30,18,16,9,10,9,0,27,9,24,24,27,24,20,9,20,9,0,209.0,9.5,193.0,8.773,44,9.14
27,30,30,27,30,18,16,9,10,9,0,27,7,24,27,24,24,16,9,18,9,0,206.0,9.364,185.0,8.409,44,8.89
30,30,30,30,30,18,18,9,10,9,0,27,10,21,21,24,27,20,9,20,10,0,214.0,9.727,189.0,8.591,44,9.16
30,30,30,30,30,18,16,9,10,9,0,30,9,27,27,24,27,16,9,18,9,0,212.0,9.636,196.0,8.909,44,9.27
27,30,30,30,30,16,16,9,9,10,0,24,7,21,21,18,18,12,8,16,7,0,207.0,9.409,152.0,6.909,44,8.16
