,DISCRETE MATHEMATICS,FUND. OF DATA STRUCTURES,OBJECT ORIENTED PROGRAMMING,COMPUTER GRAPHICS,DIGITAL ELEC. & LOGIC DESIGN,DATA STUCTURES LABORATORY,OOP & COMP. GRAPHICS LAB.,DIGITAL ELEC. LABORATORY,BUSINESS COMMUNICATION SKILLS,HUMANITY & SOCIAL SCIENCE,AUDIT COURSE,ENGINEERING MATHEMATICS III,ENGINEERING MATHEMATICS III.1,DATA STRUCTURES & ALGO.,SOFTWARE ENGINEERING,MICROPROCESSOR,PRINCIPLES OF PROG. LANG.,DATA STRUCTURES & ALGO. LAB.,MICROPROCESSOR LABORATORY,PROJECT BASED LEARNING II,CODE OF CONDUCT,AUDIT COURSE.1,SEM_3_GPA,SEM_3_SGPA,SEM_4_GPA,SEM_4_SGPA,TOTAL_CREDITS_EARNED,CGPA,SEM_3_INTERNAL,SEM_4_INTERNAL,SEM_3_EXTERNAL,SEM_4_EXTERNAL
82,1.0,0.9,0.7,0.8,0.9,0.8,0.8,1.0,0.9,1.0,0,0.9,0.8,0.6,0.4,0.6,0.7,0.9,0.9,0.9,0.8,0,190.0,0.8635999999999999,157.0,0.7136,1.0,0.7889999999999999,0.8714285714285714,0.8714285714285714,0.86,0.64
83,1.0,0.8,0.9,0.9,1.0,0.8,0.9,1.0,1.0,0.9,0,0.8,0.9,0.5,0.4,0.9,0.7,0.7,0.8,1.0,0.9,0,201.0,0.9136,159.0,0.7227,1.0,0.818,0.9,0.8571428571428571,0.92,0.66
84,1.0,1.0,1.0,1.0,1.0,0.9,0.9,0.9,0.9,1.0,0,0.9,0.8,0.6,0.4,0.6,0.5,0.7,0.8,0.9,0.9,0,214.0,0.9727,147.0,0.6682,1.0,0.82,0.9142857142857143,0.8142857142857143,1.0,0.6
85,1.0,1.0,1.0,1.0,1.0,0.9,0.9,0.9,0.9,0.9,0,0.9,0.9,0.6,0.8,0.9,0.9,1.0,1.0,1.0,1.0,0,213.0,0.9682000000000001,192.0,0.8727,1.0,0.9199999999999999,0.9,0.9857142857142858,1.0,0.82
86,1.0,0.9,1.0,0.9,1.0,0.9,0.9,0.9,0.9,0.9,0,0.6,0.9,0.6,0.8,0.9,0.7,1.0,0.9,0.9,1.0,0,207.0,0.9409000000000001,174.0,0.7908999999999999,1.0,0.866,0.9,0.9428571428571428,0.96,0.72
87,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,0.9,0,1.0,0.7,0.7,0.7,0.7,0.6,0.8,0.7,0.9,0.9,0,217.0,0.9864,168.0,0.7636000000000001,1.0,0.875,0.9571428571428572,0.8142857142857143,1.0,0.74
88,1.0,1.0,1.0,1.0,1.0,0.6,0.7,0.9,1.0,1.0,0,0.7,0.7,0.6,0.5,0.8,0.4,0.7,0.8,0.9,0.9,0,205.0,0.9318,146.0,0.6636,1.0,0.798,0.7857142857142857,0.8,1.0,0.6
89,0.9,1.0,1.0,0.9,1.0,0.9,0.9,0.9,0.9,0.9,0,0.9,0.9,0.9,0.8,0.7,0.8,0.9,0.8,0.9,0.9,0,207.0,0.9409000000000001,185.0,0.8409000000000001,1.0,0.891,0.9,0.8857142857142857,0.96,0.82
90,1.0,0.9,1.0,0.9,1.0,0.6,0.7,0.9,0.9,1.0,0,0.7,0.8,0.4,0.6,0.7,0.7,0.7,0.6,1.0,0.9,0,198.0,0.9,150.0,0.6818,1.0,0.791,0.7714285714285715,0.8142857142857143,0.96,0.62
91,1.0,0.9,0.8,0.8,1.0,0.8,0.8,1.0,0.8,0.9,0,0.8,0.4,0.7,0.7,0.7,0.8,0.8,0.7,0.9,0.9,0,194.0,0.8817999999999999,165.0,0.75,1.0,0.8160000000000001,0.8428571428571429,0.7714285714285715,0.9,0.74
